power,distance,status,total_nodes,num_honest,num_jamming,num_unconnected,num_connected,buffer_margin,trustset_configuration,num_connected_components,connected_components,avg_min_distance_jammers
8.0,N/A,Fail,3375,3374,1,11,3364,3371,True,2,"{'Component_1': 3362, 'Component_2': 2}",N/A
8.0,120.66482503198685,Pass,3375,3373,2,17,3358,3368,True,1,{'Component_1': 3358},120.66482503198685
8.0,27.7646664255264,Fail,3375,3353,22,202,3173,3308,True,31,"{'Component_1': 200, 'Component_2': 2, 'Component_3': 2, 'Component_4': 212, 'Component_5': 201, 'Component_6': 2, 'Component_7': 218, 'Component_8': 220, 'Component_9': 5, 'Component_10': 194, 'Component_11': 4, 'Component_12': 429, 'Component_13': 2, 'Component_14': 2, 'Component_15': 212, 'Component_16': 2, 'Component_17': 611, 'Component_18': 2, 'Component_19': 13, 'Component_20': 3, 'Component_21': 3, 'Component_22': 3, 'Component_23': 2, 'Component_24': 2, 'Component_25': 2, 'Component_26': 225, 'Component_27': 215, 'Component_28': 171, 'Component_29': 5, 'Component_30': 5, 'Component_31': 4}",27.7646664255264
8.0,3.0,Fail,3375,0,3375,3375,0,-6751,False,0,{},3.0
8.0,N/A,Pass,3375,3374,1,11,3364,3371,True,1,{'Component_1': 3364},N/A
8.0,N/A,Pass,3375,3374,1,11,3364,3371,True,1,{'Component_1': 3364},N/A
8.0,128.22246293064254,Pass,3375,3373,2,16,3359,3368,True,1,{'Component_1': 3359},128.22246293064254
4.0,32.283765271639005,Pass,3375,3359,16,43,3332,3326,True,1,{'Component_1': 3332},32.283765271639005
8.0,N/A,Pass,3375,3374,1,11,3364,3371,True,1,{'Component_1': 3364},N/A
4.0,N/A,Pass,3375,3374,1,3,3372,3371,True,1,{'Component_1': 3372},N/A
-2.0,N/A,Pass,3375,3374,1,1,3374,3371,True,1,{'Component_1': 3374},N/A
8.0,N/A,Pass,3375,3374,1,11,3364,3371,True,1,{'Component_1': 3364},N/A
4.0,19.085456310076353,Fail,3375,3324,51,146,3229,3221,True,13,"{'Component_1': 198, 'Component_2': 3, 'Component_3': 221, 'Component_4': 428, 'Component_5': 220, 'Component_6': 863, 'Component_7': 4, 'Component_8': 212, 'Component_9': 222, 'Component_10': 423, 'Component_11': 4, 'Component_12': 220, 'Component_13': 211}",19.085456310076353
-2.0,41.51676383378772,Pass,3375,3365,10,13,3362,3344,True,1,{'Component_1': 3362},41.51676383378772
8.0,150.49252473129687,Pass,3375,3373,2,15,3360,3368,True,1,{'Component_1': 3360},150.49252473129687
4.0,N/A,Pass,3375,3374,1,3,3372,3371,True,1,{'Component_1': 3372},N/A
-2.0,27.7877300626796,Pass,3375,3349,26,31,3344,3296,True,1,{'Component_1': 3344},27.7877300626796
4.0,N/A,Pass,3375,3374,1,2,3373,3371,True,1,{'Component_1': 3373},N/A
-2.0,N/A,Pass,3375,3374,1,2,3373,3371,True,1,{'Component_1': 3373},N/A
4.0,N/A,Pass,3375,3374,1,3,3372,3371,True,1,{'Component_1': 3372},N/A
-2.0,N/A,Pass,3375,3374,1,1,3374,3371,True,1,{'Component_1': 3374},N/A
8.0,6.011519356241785,Fail,3375,2321,1054,3373,2,212,False,1,{'Component_1': 2},6.011519356241785
4.0,20.030238750912247,Fail,3375,3330,45,122,3253,3239,True,6,"{'Component_1': 1085, 'Component_2': 2, 'Component_3': 1742, 'Component_4': 4, 'Component_5': 210, 'Component_6': 210}",20.030238750912247
-2.0,N/A,Pass,3375,3374,1,1,3374,3371,True,1,{'Component_1': 3374},N/A
8.0,N/A,Pass,3375,3374,1,13,3362,3371,True,1,{'Component_1': 3362},N/A
4.0,N/A,Pass,3375,3374,1,3,3372,3371,True,1,{'Component_1': 3372},N/A
8.0,136.82470537150812,Pass,3375,3373,2,20,3355,3368,True,1,{'Component_1': 3355},136.82470537150812
-2.0,58.60918844790141,Pass,3375,3370,5,6,3369,3359,True,1,{'Component_1': 3369},58.60918844790141
9.0,32.282136899821396,Fail,3375,3360,15,170,3205,3329,True,19,"{'Component_1': 206, 'Component_2': 215, 'Component_3': 201, 'Component_4': 1081, 'Component_5': 2, 'Component_6': 2, 'Component_7': 204, 'Component_8': 2, 'Component_9': 2, 'Component_10': 2, 'Component_11': 225, 'Component_12': 657, 'Component_13': 204, 'Component_14': 2, 'Component_15': 2, 'Component_16': 2, 'Component_17': 187, 'Component_18': 6, 'Component_19': 3}",32.282136899821396
4.0,112.09371079592289,Pass,3375,3373,2,7,3368,3368,True,1,{'Component_1': 3368},112.09371079592289
8.0,154.80633061990716,Pass,3375,3373,2,16,3359,3368,True,1,{'Component_1': 3359},154.80633061990716
-2.0,69.5154483922284,Pass,3375,3371,4,5,3370,3362,True,1,{'Component_1': 3370},69.5154483922284
9.0,N/A,Pass,3375,3374,1,15,3360,3371,True,1,{'Component_1': 3360},N/A
4.0,87.99561087966337,Pass,3375,3372,3,8,3367,3365,True,1,{'Component_1': 3367},87.99561087966337
8.0,N/A,Pass,3375,3374,1,10,3365,3371,True,1,{'Component_1': 3365},N/A
-2.0,49.11493105630776,Pass,3375,3370,5,6,3369,3359,True,1,{'Component_1': 3369},49.11493105630776
9.0,N/A,Pass,3375,3374,1,15,3360,3371,True,1,{'Component_1': 3360},N/A
