power,distance,status,total_nodes,num_honest,num_jamming,num_unconnected,num_connected,buffer_margin,trustset_configuration,num_connected_components,connected_components,avg_min_distance_jammers
-2.0,N/A,Pass,4375,4374,1,1,4374,4371,True,1,{'Component_1': 4374},N/A
-2.0,N/A,Pass,4375,4374,1,1,4374,4371,True,1,{'Component_1': 4374},N/A
-2.0,N/A,Pass,4375,4374,1,1,4374,4371,True,1,{'Component_1': 4374},N/A
-2.0,29.68453014465876,Pass,4375,4365,10,12,4363,4344,True,1,{'Component_1': 4363},29.68453014465876
-2.0,N/A,Pass,4375,4374,1,1,4374,4371,True,1,{'Component_1': 4374},N/A
-2.0,N/A,Pass,4375,4374,1,1,4374,4371,True,1,{'Component_1': 4374},N/A
-2.0,N/A,Pass,4375,4374,1,1,4374,4371,True,1,{'Component_1': 4374},N/A
-2.0,N/A,Pass,4375,4374,1,1,4374,4371,True,1,{'Component_1': 4374},N/A
6.0,N/A,Pass,4375,4374,1,9,4366,4371,True,1,{'Component_1': 4366},N/A
-2.0,N/A,Pass,4375,4374,1,1,4374,4371,True,1,{'Component_1': 4374},N/A
5.5,N/A,Pass,4375,4374,1,5,4370,4371,True,1,{'Component_1': 4370},N/A
8.5,N/A,Pass,4375,4374,1,9,4366,4371,True,1,{'Component_1': 4366},N/A
6.0,N/A,Fail,4375,4374,1,9,4366,4371,True,2,"{'Component_1': 4364, 'Component_2': 2}",N/A
-2.0,39.39519268695327,Pass,4375,4368,7,8,4367,4353,True,1,{'Component_1': 4367},39.39519268695327
6.0,N/A,Pass,4375,4374,1,9,4366,4371,True,1,{'Component_1': 4366},N/A
8.5,N/A,Pass,4375,4374,1,15,4360,4371,True,1,{'Component_1': 4360},N/A
-2.0,N/A,Pass,4375,4374,1,2,4373,4371,True,1,{'Component_1': 4373},N/A
5.5,N/A,Pass,4375,4374,1,7,4368,4371,True,1,{'Component_1': 4368},N/A
6.0,N/A,Fail,4375,4374,1,9,4366,4371,True,2,"{'Component_1': 4364, 'Component_2': 2}",N/A
0.5,N/A,Pass,4375,4374,1,3,4372,4371,True,1,{'Component_1': 4372},N/A
-2.0,N/A,Pass,4375,4374,1,1,4374,4371,True,1,{'Component_1': 4374},N/A
6.0,N/A,Pass,4375,4374,1,6,4369,4371,True,1,{'Component_1': 4369},N/A
0.5,N/A,Pass,4375,4374,1,2,4373,4371,True,1,{'Component_1': 4373},N/A
5.5,N/A,Pass,4375,4374,1,7,4368,4371,True,1,{'Component_1': 4368},N/A
-2.0,N/A,Pass,4375,4374,1,1,4374,4371,True,1,{'Component_1': 4374},N/A
6.0,N/A,Pass,4375,4374,1,9,4366,4371,True,1,{'Component_1': 4366},N/A
2.0,N/A,Pass,4375,4374,1,4,4371,4371,True,1,{'Component_1': 4371},N/A
6.0,N/A,Pass,4375,4374,1,9,4366,4371,True,1,{'Component_1': 4366},N/A
-2.0,N/A,Pass,4375,4374,1,1,4374,4371,True,1,{'Component_1': 4374},N/A
5.5,N/A,Pass,4375,4374,1,7,4368,4371,True,1,{'Component_1': 4368},N/A
2.0,N/A,Pass,4375,4374,1,3,4372,4371,True,1,{'Component_1': 4372},N/A
6.0,N/A,Pass,4375,4374,1,9,4366,4371,True,1,{'Component_1': 4366},N/A
-2.0,N/A,Pass,4375,4374,1,1,4374,4371,True,1,{'Component_1': 4374},N/A
6.0,N/A,Pass,4375,4374,1,9,4366,4371,True,1,{'Component_1': 4366},N/A
-2.0,N/A,Pass,4375,4374,1,1,4374,4371,True,1,{'Component_1': 4374},N/A
6.0,46.9127953972108,Fail,4375,4370,5,36,4339,4359,True,2,"{'Component_1': 4337, 'Component_2': 2}",46.9127953972108
8.5,N/A,Pass,4375,4374,1,10,4365,4371,True,1,{'Component_1': 4365},N/A
-2.0,N/A,Pass,4375,4374,1,1,4374,4371,True,1,{'Component_1': 4374},N/A
8.0,N/A,Pass,4375,4374,1,11,4364,4371,True,1,{'Component_1': 4364},N/A
6.0,N/A,Pass,4375,4374,1,9,4366,4371,True,1,{'Component_1': 4366},N/A
8.5,N/A,Pass,4375,4374,1,18,4357,4371,True,1,{'Component_1': 4357},N/A
-2.0,N/A,Pass,4375,4374,1,2,4373,4371,True,1,{'Component_1': 4373},N/A
8.5,N/A,Pass,4375,4374,1,15,4360,4371,True,1,{'Component_1': 4360},N/A
11.0,N/A,Pass,4375,4374,1,27,4348,4371,True,1,{'Component_1': 4348},N/A
-2.0,N/A,Pass,4375,4374,1,1,4374,4371,True,1,{'Component_1': 4374},N/A
8.0,51.69101959190364,Fail,4375,4371,4,40,4335,4362,True,2,"{'Component_1': 4333, 'Component_2': 2}",51.69101959190364
8.5,N/A,Fail,4375,4374,1,15,4360,4371,True,4,"{'Component_1': 4354, 'Component_2': 2, 'Component_3': 2, 'Component_4': 2}",N/A
11.0,N/A,Fail,4375,4374,1,27,4348,4371,True,4,"{'Component_1': 4342, 'Component_2': 2, 'Component_3': 2, 'Component_4': 2}",N/A
-2.0,N/A,Pass,4375,4374,1,1,4374,4371,True,1,{'Component_1': 4374},N/A
8.5,N/A,Pass,4375,4374,1,18,4357,4371,True,1,{'Component_1': 4357},N/A
8.0,N/A,Pass,4375,4374,1,11,4364,4371,True,1,{'Component_1': 4364},N/A
-2.0,N/A,Pass,4375,4374,1,1,4374,4371,True,1,{'Component_1': 4374},N/A
8.5,N/A,Pass,4375,4374,1,15,4360,4371,True,1,{'Component_1': 4360},N/A
-2.0,N/A,Pass,4375,4374,1,2,4373,4371,True,1,{'Component_1': 4373},N/A
8.5,N/A,Fail,4375,4374,1,15,4360,4371,True,4,"{'Component_1': 4354, 'Component_2': 2, 'Component_3': 2, 'Component_4': 2}",N/A
8.0,21.9645489651643,Fail,4375,4361,14,151,4224,4332,True,23,"{'Component_1': 1250, 'Component_2': 625, 'Component_3': 190, 'Component_4': 140, 'Component_5': 2, 'Component_6': 2, 'Component_7': 57, 'Component_8': 3, 'Component_9': 3, 'Component_10': 3, 'Component_11': 3, 'Component_12': 3, 'Component_13': 39, 'Component_14': 5, 'Component_15': 2, 'Component_16': 2, 'Component_17': 4, 'Component_18': 5, 'Component_19': 7, 'Component_20': 2, 'Component_21': 2, 'Component_22': 625, 'Component_23': 1250}",21.9645489651643
-2.0,N/A,Pass,4375,4374,1,2,4373,4371,True,1,{'Component_1': 4373},N/A
8.5,N/A,Pass,4375,4374,1,15,4360,4371,True,1,{'Component_1': 4360},N/A
-2.0,N/A,Pass,4375,4374,1,1,4374,4371,True,1,{'Component_1': 4374},N/A
8.5,N/A,Pass,4375,4374,1,15,4360,4371,True,1,{'Component_1': 4360},N/A
8.0,N/A,Pass,4375,4374,1,11,4364,4371,True,1,{'Component_1': 4364},N/A
8.5,N/A,Pass,4375,4374,1,10,4365,4371,True,1,{'Component_1': 4365},N/A
-2.0,N/A,Pass,4375,4374,1,1,4374,4371,True,1,{'Component_1': 4374},N/A
8.5,N/A,Pass,4375,4374,1,12,4363,4371,True,1,{'Component_1': 4363},N/A
-2.0,N/A,Pass,4375,4374,1,2,4373,4371,True,1,{'Component_1': 4373},N/A
8.0,N/A,Fail,4375,4374,1,12,4363,4371,True,3,"{'Component_1': 4359, 'Component_2': 2, 'Component_3': 2}",N/A
8.5,N/A,Pass,4375,4374,1,15,4360,4371,True,1,{'Component_1': 4360},N/A
-2.0,96.93296652842108,Pass,4375,4373,2,3,4372,4368,True,1,{'Component_1': 4372},96.93296652842108
-2.0,N/A,Pass,4375,4374,1,1,4374,4371,True,1,{'Component_1': 4374},N/A
5.0,N/A,Pass,4375,4374,1,4,4371,4371,True,1,{'Component_1': 4371},N/A
13.5,N/A,Pass,4375,4374,1,63,4312,4371,True,1,{'Component_1': 4312},N/A
3.5,19.982917980196458,Pass,4375,4357,18,49,4326,4320,True,1,{'Component_1': 4326},19.982917980196458
-2.0,N/A,Pass,4375,4374,1,1,4374,4371,True,1,{'Component_1': 4374},N/A
4.0,N/A,Pass,4375,4374,1,3,4372,4371,True,1,{'Component_1': 4372},N/A
5.0,N/A,Pass,4375,4374,1,5,4370,4371,True,1,{'Component_1': 4370},N/A
13.5,44.48215978505068,Fail,4375,4370,5,287,4088,4359,True,36,"{'Component_1': 625, 'Component_2': 625, 'Component_3': 25, 'Component_4': 522, 'Component_5': 2, 'Component_6': 2, 'Component_7': 5, 'Component_8': 5, 'Component_9': 4, 'Component_10': 2, 'Component_11': 2, 'Component_12': 10, 'Component_13': 10, 'Component_14': 226, 'Component_15': 118, 'Component_16': 5, 'Component_17': 37, 'Component_18': 18, 'Component_19': 7, 'Component_20': 7, 'Component_21': 3, 'Component_22': 3, 'Component_23': 2, 'Component_24': 2, 'Component_25': 2, 'Component_26': 25, 'Component_27': 522, 'Component_28': 2, 'Component_29': 2, 'Component_30': 5, 'Component_31': 5, 'Component_32': 4, 'Component_33': 2, 'Component_34': 2, 'Component_35': 625, 'Component_36': 625}",44.48215978505068
0.5,N/A,Pass,4375,4374,1,3,4372,4371,True,1,{'Component_1': 4372},N/A
3.5,N/A,Pass,4375,4374,1,3,4372,4371,True,1,{'Component_1': 4372},N/A
-2.0,N/A,Pass,4375,4374,1,1,4374,4371,True,1,{'Component_1': 4374},N/A
14.5,N/A,Pass,4375,4374,1,93,4282,4371,True,1,{'Component_1': 4282},N/A
8.5,N/A,Pass,4375,4374,1,15,4360,4371,True,1,{'Component_1': 4360},N/A
0.0,N/A,Pass,4375,4374,1,1,4374,4371,True,1,{'Component_1': 4374},N/A
-2.0,N/A,Pass,4375,4374,1,1,4374,4371,True,1,{'Component_1': 4374},N/A
-3.0,N/A,Pass,4375,4374,1,1,4374,4371,True,1,{'Component_1': 4374},N/A
-0.5,N/A,Pass,4375,4374,1,1,4374,4371,True,1,{'Component_1': 4374},N/A
4.0,N/A,Pass,4375,4374,1,3,4372,4371,True,1,{'Component_1': 4372},N/A
10.0,N/A,Fail,4375,4374,1,17,4358,4371,True,2,"{'Component_1': 4356, 'Component_2': 2}",N/A
14.5,N/A,Pass,4375,4374,1,111,4264,4371,True,1,{'Component_1': 4264},N/A
8.5,N/A,Pass,4375,4374,1,18,4357,4371,True,1,{'Component_1': 4357},N/A
2.5,N/A,Pass,4375,4374,1,3,4372,4371,True,1,{'Component_1': 4372},N/A
1.5,N/A,Pass,4375,4374,1,3,4372,4371,True,1,{'Component_1': 4372},N/A
0.0,N/A,Pass,4375,4374,1,1,4374,4371,True,1,{'Component_1': 4374},N/A
0.0,N/A,Pass,4375,4374,1,1,4374,4371,True,1,{'Component_1': 4374},N/A
-1.5,N/A,Pass,4375,4374,1,1,4374,4371,True,1,{'Component_1': 4374},N/A
-3.0,N/A,Pass,4375,4374,1,2,4373,4371,True,1,{'Component_1': 4373},N/A
15.0,N/A,Pass,4375,4374,1,118,4257,4371,True,1,{'Component_1': 4257},N/A
-0.5,N/A,Pass,4375,4374,1,1,4374,4371,True,1,{'Component_1': 4374},N/A
-3.0,N/A,Pass,4375,4374,1,1,4374,4371,True,1,{'Component_1': 4374},N/A
10.5,56.036068602129006,Fail,4375,4371,4,57,4318,4362,True,3,"{'Component_1': 4312, 'Component_2': 4, 'Component_3': 2}",56.036068602129006
10.5,N/A,Pass,4375,4374,1,19,4356,4371,True,1,{'Component_1': 4356},N/A
13.5,N/A,Pass,4375,4374,1,63,4312,4371,True,1,{'Component_1': 4312},N/A
-0.5,N/A,Pass,4375,4374,1,1,4374,4371,True,1,{'Component_1': 4374},N/A
-1.5,N/A,Pass,4375,4374,1,1,4374,4371,True,1,{'Component_1': 4374},N/A
2.0,N/A,Pass,4375,4374,1,3,4372,4371,True,1,{'Component_1': 4372},N/A
13.0,N/A,Fail,4375,4374,1,55,4320,4371,True,9,"{'Component_1': 4298, 'Component_2': 3, 'Component_3': 3, 'Component_4': 3, 'Component_5': 2, 'Component_6': 2, 'Component_7': 3, 'Component_8': 3, 'Component_9': 3}",N/A
14.0,N/A,Fail,4375,4374,1,79,4296,4371,True,12,"{'Component_1': 4252, 'Component_2': 5, 'Component_3': 4, 'Component_4': 5, 'Component_5': 4, 'Component_6': 3, 'Component_7': 2, 'Component_8': 3, 'Component_9': 4, 'Component_10': 5, 'Component_11': 4, 'Component_12': 5}",N/A
11.5,N/A,Pass,4375,4374,1,27,4348,4371,True,1,{'Component_1': 4348},N/A
2.5,N/A,Pass,4375,4374,1,3,4372,4371,True,1,{'Component_1': 4372},N/A
9.0,N/A,Pass,4375,4374,1,15,4360,4371,True,1,{'Component_1': 4360},N/A
8.5,72.069410986909,Pass,4375,4373,2,27,4348,4368,True,1,{'Component_1': 4348},72.069410986909
10.5,76.79072880547764,Fail,4375,4372,3,47,4328,4365,True,5,"{'Component_1': 4320, 'Component_2': 2, 'Component_3': 2, 'Component_4': 2, 'Component_5': 2}",76.79072880547764
14.5,N/A,Fail,4375,4374,1,113,4262,4371,True,13,"{'Component_1': 4226, 'Component_2': 4, 'Component_3': 2, 'Component_4': 2, 'Component_5': 2, 'Component_6': 4, 'Component_7': 4, 'Component_8': 4, 'Component_9': 4, 'Component_10': 2, 'Component_11': 2, 'Component_12': 2, 'Component_13': 4}",N/A
0.5,N/A,Pass,4375,4374,1,3,4372,4371,True,1,{'Component_1': 4372},N/A
8.5,N/A,Pass,4375,4374,1,15,4360,4371,True,1,{'Component_1': 4360},N/A
11.5,N/A,Fail,4375,4374,1,30,4345,4371,True,3,"{'Component_1': 4339, 'Component_2': 3, 'Component_3': 3}",N/A
2.5,N/A,Pass,4375,4374,1,3,4372,4371,True,1,{'Component_1': 4372},N/A
-0.5,N/A,Pass,4375,4374,1,1,4374,4371,True,1,{'Component_1': 4374},N/A
4.0,N/A,Pass,4375,4374,1,3,4372,4371,True,1,{'Component_1': 4372},N/A
11.5,N/A,Pass,4375,4374,1,26,4349,4371,True,1,{'Component_1': 4349},N/A
2.0,N/A,Pass,4375,4374,1,3,4372,4371,True,1,{'Component_1': 4372},N/A
3.5,N/A,Pass,4375,4374,1,3,4372,4371,True,1,{'Component_1': 4372},N/A
8.0,N/A,Pass,4375,4374,1,11,4364,4371,True,1,{'Component_1': 4364},N/A
-1.5,N/A,Pass,4375,4374,1,1,4374,4371,True,1,{'Component_1': 4374},N/A
15.0,84.8528137423857,Pass,4375,4373,2,208,4167,4368,True,1,{'Component_1': 4167},84.8528137423857
-3.0,N/A,Pass,4375,4374,1,1,4374,4371,True,1,{'Component_1': 4374},N/A
7.0,N/A,Pass,4375,4374,1,11,4364,4371,True,1,{'Component_1': 4364},N/A
0.0,N/A,Pass,4375,4374,1,1,4374,4371,True,1,{'Component_1': 4374},N/A
0.0,N/A,Pass,4375,4374,1,1,4374,4371,True,1,{'Component_1': 4374},N/A
14.5,N/A,Pass,4375,4374,1,93,4282,4371,True,1,{'Component_1': 4282},N/A
-2.5,N/A,Pass,4375,4374,1,1,4374,4371,True,1,{'Component_1': 4374},N/A
4.0,N/A,Pass,4375,4374,1,3,4372,4371,True,1,{'Component_1': 4372},N/A
-3.0,N/A,Pass,4375,4374,1,1,4374,4371,True,1,{'Component_1': 4374},N/A
