power,distance,status,total_nodes,num_honest,num_jamming,num_unconnected,num_connected,buffer_margin,trustset_configuration,num_connected_components,connected_components
0.0,8.15796211761561,Fail,1000,897,103,136,864,690,True,18,"{'Component_1': 38, 'Component_2': 45, 'Component_3': 2, 'Component_4': 79, 'Component_5': 6, 'Component_6': 90, 'Component_7': 86, 'Component_8': 2, 'Component_9': 170, 'Component_10': 2, 'Component_11': 91, 'Component_12': 84, 'Component_13': 2, 'Component_14': 92, 'Component_15': 59, 'Component_16': 8, 'Component_17': 2, 'Component_18': 6}"
0.0,10.341554468275925,Fail,1000,916,84,102,898,747,True,18,"{'Component_1': 78, 'Component_2': 3, 'Component_3': 2, 'Component_4': 2, 'Component_5': 90, 'Component_6': 2, 'Component_7': 178, 'Component_8': 2, 'Component_9': 86, 'Component_10': 3, 'Component_11': 2, 'Component_12': 93, 'Component_13': 87, 'Component_14': 2, 'Component_15': 180, 'Component_16': 83, 'Component_17': 3, 'Component_18': 2}"
0.0,9.728513782922562,Fail,1000,916,84,96,904,747,True,22,"{'Component_1': 6, 'Component_2': 79, 'Component_3': 2, 'Component_4': 2, 'Component_5': 90, 'Component_6': 2, 'Component_7': 72, 'Component_8': 12, 'Component_9': 2, 'Component_10': 2, 'Component_11': 94, 'Component_12': 88, 'Component_13': 2, 'Component_14': 91, 'Component_15': 85, 'Component_16': 2, 'Component_17': 3, 'Component_18': 92, 'Component_19': 91, 'Component_20': 83, 'Component_21': 2, 'Component_22': 2}"
0.0,13.049342569353067,Fail,1000,946,54,64,936,837,True,5,"{'Component_1': 89, 'Component_2': 285, 'Component_3': 281, 'Component_4': 190, 'Component_5': 91}"
0.0,13.142370888339075,Fail,1000,941,59,71,929,822,True,5,"{'Component_1': 89, 'Component_2': 378, 'Component_3': 279, 'Component_4': 93, 'Component_5': 90}"
0.0,14.11067065210722,Fail,1000,959,41,47,953,876,True,2,"{'Component_1': 858, 'Component_2': 95}"
0.0,14.133563029590409,Fail,1000,961,39,51,949,882,True,4,"{'Component_1': 856, 'Component_2': 2, 'Component_3': 89, 'Component_4': 2}"
0.0,13.538109179935585,Fail,1000,958,42,49,951,873,True,3,"{'Component_1': 947, 'Component_2': 2, 'Component_3': 2}"
0.0,13.407623502192006,Fail,1000,959,41,46,954,876,True,5,"{'Component_1': 946, 'Component_2': 2, 'Component_3': 2, 'Component_4': 2, 'Component_5': 2}"
0.0,14.932471178987193,Fail,1000,964,36,46,954,891,True,3,"{'Component_1': 91, 'Component_2': 2, 'Component_3': 861}"
